"CompLetter","Code","Name","Description"
"A","01.0","Activity Care","Actions performed to carry out physiological or psychological daily activities"
"A","01.2","Energy Conservation","Actions performed taken to preserve energy"
"A","02.0","Fracture Care","Actions performed to control broken bones"
"A","02.1","Cast Care","Actions performed to control a rigid dressing"
"A","02.2","Immobilizer Care","Actions performed to control a splint, cast, or prescribed bed rest"
"A","03.0","Mobility Therapy","Actions performed to advice and instruct on mobility deficits"
"A","03.1","Ambulation Therapy","Actions performed to promote walking"
"A","03.2","Assistive Device Therapy","Actions performed to support the use of products to aid in caring for oneself"
"A","03.3","Transfer Care","Actions performed to assist in moving from one place to another"
"A","04.0","Sleep Pattern Control","Actions performed to support the sleep and wake cycles"
"A","05.0","Musculosketal Care","Actions performed to restore physical functioning"
"A","05.1","Range of Motion","Actions performed to provide the active or passive exercises to maintain joint function"
"A","05.2","Rehabilitation Exercise","Activities to promote physical functioning"
"A","61.0","Bedbound Care","Actions performed to support an individual confined to bed"
"A","61.1","Positioning Therapy","Process to support changes in body position"
"A","77.0","Diversional Care","Actions performed  to support interest in leisure activities or play"
"B","06.0","Bowel Care","Actions performed to control or restore the functioning of the bowel"
"B","06.1","Bowel Training","Actions performed to provide instruction on bowel elimination conditions"
"B","06.2","Disimpaction","Actions performed to manually remove feces"
"B","06.3","Enema","Actions performed to give fluid rectally"
"B","06.4","Diarrhea Care","Actions performed to control the abnormal frequency and fluidity of feces"
"B","07.0","Bowel Ostomy Care","Actions performed to maintain the artificial opening that removes bowel waste products"
"B","07.1","Bowel Ostomy Irrigation","Actions performed to flush or wash out the artificial opening that removes bowel waste products"
"B","62.0","Gastric Care","Actions performed to control changes in the stomach or intestines"
"B","62.1","Nausea Care","Actions performed to control the distaste for food and desire to vomit"
"C","08.0","Cardiac Care","Actions performed to control changes in the heart or blood vessels"
"C","08.1","Cardiac Rehabilitation","Actions performed to restore cardiac health"
"C","09.0","Pacemaker Care","Actions performed to control the use of an electronic device that provides a normal heartbeat"
"D","10.0","Behavior Care","Actions performed to support observable responses to internal and external stimuli"
"D","11.0","Reality Orientation","Actions performed to promote the ability to locate oneself in environment"
"D","63.0","Wandering Control","Actions performed to control abnormal movability"
"D","64.0","Memory Loss Care","Actions performed to control a person's inability to recall ideas and/or events"
"D","78.0","Neurological System Care","Actions performed to control problems of the neurological system"
"E","12.0","Counseling Service","Actions performed to provide advice or instruction to help another"
"E","12.1","Coping Support","Actions performed to sustain a person dealing with responsibilities, problems, or difficulties"
"E","12.2","Stress Control","Actions performed to support the physiological response of the body to a stimulus"
"E","12.3","Crisis Therapy","Actions performed to sustain a person dealing with a condition, event. or radical change in status"
"E","13.0","Emotional Support","Actions performed to sustain a positive affective state"
"E","13.1","Spiritual Comfort","Actions performed to console, restore, or promote spiritual health"
"E","14.0","Terminal Care","Actions performed in the period of time surrounding death"
"E","14.1","Bereavement Support","Actions performed to provide comfort to the family/friends of the person who died"
"E","14.2","Dying/Death Measures","Actions performed to support the dying process"
"E","14.3","Funeral Arrangements","Actions performed to direct the preparatory measures for burial"
"F","15.0","Fluid Therapy","Actions performed to provide liquid volume intake"
"F","15.1","Hydration Control","Actions performed to control the state of fluid balance"
"F","15.3","Intake","Actions performed to measure the amount of fluid volume taken into the body"
"F","15.4","Output","Actions performed to measure the amount of fluid volume romoved from the body"
"F","79.0","Hemodynamic Care","Actions performed to support the movement of solutions through the blood"
"F","79.1","Intravenous Care","Actions performed to support the use of infusion equipment"
"F","79.2","Venous Catheter Care","Actions performed to support the use of venous infusion site"
"F","79.3","Arterial Catheter Care","Actions performed to support the use of arterial infusion site"
"G","17.0","Community Special Services","Actions performed to provide advice or information about special community services"
"G","17.1","Adult Day Center","Actions performed to direct the provision of a day program for adults in a specific location"
"G","17.2","Hospice","Actions performed to support the provision of offering and/or providing care for terminally ill persons"
