"identifier","sortkey","language","title","content"
"ccs00013","050.041","en","Drug abuse","The Finnish treatment guarantee includes people with drug problems. All substance abusers are treated within the health-care system, in special service units of substance-abuse treatment services, and within the social welfare system. Psychosocial treatment- and rehabilitation methods, as well as supporting medications are reviewed and recommended. For maintenance treatment of opiate dependence either buprenorphine-naloxone or methadone is recommended."
"ccs00012","050.042","en","Parkinson's disease","The treatment of Parkinson’s disease may be initiated with dopamine agonist or MAO-B-inhibitor for people under 60–65 years of age. For older patients, the treatment may also be started with levodopa. If there are motor complications, such as on-off-symptoms, apomorphin injections can be beneficial in addition to other medications. In the case of difficult on-off-symptoms and dyskinesias in spite of optimal treatment, deep brain stimulation, duodenal levodopa infusion and apomorphine infusion should be considered. Rehabilitation can improve gait speed and balance, decrease falls and improve speech. However, with advancing disease the results are not maintained if training is discontinued."
"ccs00038","035.050","en","Schizophrenia","Schizophrenia is a severe psychiatric disorder. A clinical staging model is proposed to help clinicians with treatment planning. Antipsychotic medication in conjunction with psychosocial interventions, such as psychoeducation, cognitive-behavioral therapy, and cognitive rehabilitation should be provided according to patient`s individual needs. Supported employment is a feasible option to some patients. More attention should be given to patients’ physical health and interventions promoting healthy life habits (reduction of alcohol, tobacco and illegal drug use, healthy eating and sleep, weight control, and appropriate exercise) should be provided."
"ccs00004","050.022","en","Venous thromboembolism (VTE):  deep venous thrombosis and pulmonary embolism","Key recommendations in management of VTE include prompt and systematic diagnostics based on clinical probability, D-dimer testing and imaging studies, and individualized antithrombotic treatment. Outpatient management is encouraged for patients with favourable prognosis. Interventions such as thrombolysis, venous stenting and inferior vena cava filters are limited to specific subgroups of patients. The duration of anticoagulation is tailored by balancing the risks of VTE recurrence and bleeding. Without contraindications, the minimal duration of anticoagulation is 3 months. The selection between warfarin, direct oral anticoagulants (apixaban, dabigatran, rivaroxaban) and low molecular weight heparin is based on individual patient characteristics and suitability of each drug."
"ccs00010","050.036","en","Atrial fibrillation","The prevalence and incidence of atrial fibrillation (AF) are increasing rapidly. Key recommendations in management of AF include prompt anticoagulation in patients with elevated risk of thromboembolic complications (CHA2DS2VASc score ≥ 2), proper use of antiarrhythmic drugs and invasive therapies in symptomatic patients and adequate rate control in patients with permanent AF. The selection between the direct oral anticoagulants (DOAC) and warfarin is based on careful evaluation of the benefits and disadvantages of the drugs. DOAC is usually a good choice except for the patients with mitral valve stenosis or prosthetic heart valve."
"ccs00011","050.035","en","Cataracts","The indications for cataract surgery under the Finnish public healthcare system are as follows: cataract dependent difficulties in every day life, in addition with a BCVA in the better eye of ≤ 0.5, or a BCVA in the worse eye of ≤ 0.3. Primary health care in responsible of finding the patients and referring them to specialised care at adequate time. A follow-up visit with an ophthalmologist should be arranged approximately one months after surgery."
"ccs00005","050.028","en","Alcohol abuse","The risk associated with alcohol use can be classified as high, moderate or no likely risk. Recognition of a high risk patient should always lead to interventions in health care. Short interventions are effective, if no addiction has developed. Psychosocial interventions are recommended for patients with alcohol addiction. Drug treatment can increase the efficacy of psychosocial interventions."
"ccs00039","050.061","en","ADHD (Attention-deficit hyperactivity disorder)","The updated guideline covers diagnosis and treatment of ADHD in children, adolescents, and adults. In all age groups, diagnosis is based on typical core symptoms (inattention, hyperactivity, impulsivity), and functional impairment in the course of person’s life. Psychiatric comorbidity is common, and must be taken into account. Treatment should be tailored individually to include psychoeducation, psychosocial interventions and support, and/or medication. Depending on age, collaboration with family, day-care/school, and primary/occupational health care should be considered. Evidence-based and licensed drug treatments for ADHD are atomoxetine, lisdexamfetamine, methylphenidate, and, for children and adolescents, guanfacine."
"ccs00001","050.026","en","Food allergy (children)","This guideline, targeted to healthcare workers dealing with food-allergic children, provides a review on the clinical aspects of pediatric food allergy. The main updates include: elimination diets are not recommended for breast-feeding mothers; probiotics are not recommended for allergy prevention or treatment; food challenges are the basis of the diagnosis, but it can be improved by IgE component diagnostics. The treatment for severe symptoms is specific food avoidance, mildly symptomatic children should continue with versatile diet. Specific oral tolerance induction is a safe and effective treatment in most of the pediatric patients."
"ccs00029","037.030","en","Glaucoma","The up-date of the Finnish Current Care Guideline for glaucoma is based primarily on systematic reviews searched up by March 2014. The recommendations are presented in nine tables, which are based on 95 graded statements with evidence summaries. The on-line availability (www.kaypahoito.fi/web/english/guidelines ) of the English translation of the guideline and evidence summaries enables the verification of the evidence and recommendations. Ten external stakeholders gave a mean value of 1.8 (range of 1 = completely agree to 4 = completely disagree) for the structured questions (e.g. definitions, goals, questions, target users) and judged the evidence and the recommendations."
